"id","kingdom","phylum","order","family","genus","species","Lon","Lat","year","month","day","datasetName","datasetId","datasetKey","photo","bibliographicCitation","speciesAccepted","authority","status"
0,"Animalia","Chordata","Charadriiformes","Laridae","Thalasseus","Thalasseus maximus","-16.166667","11","2019","4",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna maxima","(Boddaert, 1783)","unaccepted"
1,"Animalia","Chordata","Charadriiformes","Laridae","Thalasseus","Thalasseus maximus","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna maxima","(Boddaert, 1783)","unaccepted"
2,"Animalia","Chordata","Charadriiformes","Laridae","Thalasseus","Thalasseus maximus","-16.166667","11","2021","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna maxima","(Boddaert, 1783)","unaccepted"
3,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-16.166667","11","2019","7",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
4,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-16.166667","11","2020","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
5,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-16.166667","11","2021","4",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
6,"Animalia","Chordata","Charadriiformes","Laridae","Sterna","Sterna hirundo","-16.166667","11","2019","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna hirundo","Linnaeus, 1758","accepted"
7,"Animalia","Chordata","Charadriiformes","Laridae","Sterna","Sterna hirundo","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna hirundo","Linnaeus, 1758","accepted"
8,"Animalia","Chordata","Charadriiformes","Laridae","Sterna","Sterna hirundo","-16.166667","11","2021","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna hirundo","Linnaeus, 1758","accepted"
9,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus cirrocephalus","-16.166667","11","2019","7",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus cirrocephalus","Vieillot, 1818","accepted"
10,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus cirrocephalus","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus cirrocephalus","Vieillot, 1818","accepted"
11,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus cirrocephalus","-16.166667","11","2021","4",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus cirrocephalus","Vieillot, 1818","accepted"
12,"Animalia","Chordata","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","-16.166667","11","2019","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Chroicocephalus genei","(Breme, 1839)","accepted"
13,"Animalia","Chordata","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Chroicocephalus genei","(Breme, 1839)","accepted"
14,"Animalia","Chordata","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","-16.166667","11","2021","4",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Chroicocephalus genei","(Breme, 1839)","accepted"
15,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus dominicanus","-16.166667","11","2019","10",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus dominicanus","Lichtenstein, 1823","accepted"
16,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus dominicanus","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus dominicanus","Lichtenstein, 1823","accepted"
17,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus dominicanus","-16.166667","11","2021","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus dominicanus","Lichtenstein, 1823","accepted"
18,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus","-16.166667","11","2019","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Threskiornis aethiopicus","(Latham, 1790)","accepted"
19,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Threskiornis aethiopicus","(Latham, 1790)","accepted"
20,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus","-16.166667","11","2021","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Threskiornis aethiopicus","(Latham, 1790)","accepted"
21,"Animalia","Chordata","Ciconiiformes","Ardeidae","Egretta","Egretta gularis","-16.166667","11","2019","7",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Egretta gularis","(Bosc, 1792)","accepted"
22,"Animalia","Chordata","Ciconiiformes","Ardeidae","Egretta","Egretta gularis","-16.166667","11","2020","6",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Egretta gularis","(Bosc, 1792)","accepted"
23,"Animalia","Chordata","Ciconiiformes","Ardeidae","Egretta","Egretta gularis","-16.166667","11","2021","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Egretta gularis","(Bosc, 1792)","accepted"
24,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Platalea","Platalea alba","-16.166667","11","2019","8",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Platalea alba","Scopoli, 1786","accepted"
25,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Platalea","Platalea alba","-16.166667","11","2021","5",NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Platalea alba","Scopoli, 1786","accepted"
26,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-15.638659","11.049411","1987",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
27,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-15.968705","11.355972","1997",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
28,"Animalia","Chordata","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","-15.968705","11.355972","1994",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Chroicocephalus genei","(Breme, 1839)","accepted"
29,"Animalia","Chordata","Charadriiformes","Laridae","Thalasseus","Thalasseus maximus","-15.968705","11.355972","1994",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna maxima","(Boddaert, 1783)","unaccepted"
30,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Platalea","Platalea alba","-15.968705","11.355972","1992",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Platalea alba","Scopoli, 1786","accepted"
31,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus","-15.968705","11.355972","1994",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Threskiornis aethiopicus","(Latham, 1790)","accepted"
32,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-16.166667","11","1997",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
33,"Animalia","Chordata","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Hydroprogne caspia","(Pallas, 1770)","accepted"
34,"Animalia","Chordata","Charadriiformes","Laridae","Thalasseus","Thalasseus maximus","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Sterna maxima","(Boddaert, 1783)","unaccepted"
35,"Animalia","Chordata","Charadriiformes","Laridae","Larus","Larus cirrocephalus","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Larus cirrocephalus","Vieillot, 1818","accepted"
36,"Animalia","Chordata","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Chroicocephalus genei","(Breme, 1839)","accepted"
37,"Animalia","Chordata","Ciconiiformes","Threskiornithidae","Threskiornis","Threskiornis aethiopicus","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Threskiornis aethiopicus","(Latham, 1790)","accepted"
38,"Animalia","Chordata","Ciconiiformes","Ardeidae","Egretta","Egretta gularis","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Egretta gularis","(Bosc, 1792)","accepted"
39,"Animalia","Chordata","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","-16.166667","11","2015",NA,NA,"Marine Bird","0","0",NA,"A. Insambé, 2021, Tendências e ameaças às populações reprodutoras de aves marinhas na Guiné-Bissau","Chroicocephalus genei","(Breme, 1839)","accepted"
40,"Animalia","Chordata","Testudines","Cheloniidae","Chelonia","Chelonia mydas","-15.722908","10.869138","2016",NA,NA,"Marine Reptiles","0","0",NA,"E. Dias, 2016, Caracterização da Comunidade de Pequenos Peixes Pelágicos e da Dieta do Predador, Caranx hippos, no Parque Nacional Marinho João Vieira Poilão, Guiné-Bissau","Chelonia mydas","(Linnaeus, 1758)","accepted"
