"speciesName"
"Chroicocephalus cirrocephalus"
"Liza sp."
"Pomadasys sp."
"Dosinia sp."
"Callinectes sp."
"Sylvia cantillans"
"Burhinus senegalensis"
"Tylosurus sp."
"Exocoetidae sp."
"Gobiidae sp."
"Hyporhamphus sp."
"Rhinoptera sp."
"Rhizophora sp."
"Dendroaspis viridis"
"Charybdis sp."
"Diplodonta sp."
"Keletistes sp."
"Diopatra sp."
"Glycera sp."
"Goniadopsis sp."
"Sigambra sp."
"Grandidierella sp."
"Hyala sp."
"Solariella sp."
"Elops sp."
"Mugil sp."
"Hippocampus punctatus"
"Liza dufnerili"
"Avicennia sp."
"Crassostrea sp."
"Trichechus sp."
"Sousa sp."
"Apseudes latreilli"
"Eurydice sp."
"Aricia sp."
"Scoloplos sp."
"Onuphis sp."
"Lumbriconereis sp."
"Bulla adansoni"
"Marphysa sp."
"Sigalion sp."
"Malmgrenia sp."
"Nitidella ocellata"
"Atys sp."
"Clavatula sp."
"Hydrobia sp."
"Cylichna sp."
"Vitrinella sp."
"Nereis sp."
"Lumbrineris sp."
"Terebella sp."
"Nephtys sp."
"Magelona sp."
"Syllis sp."
"Pisione sp."
"Hyperolius occidentalis"
"Grayia smithii"
"Psammophis elegans"
"Crocodylus cataphractus"
"Carcharhinus falciforme"
"Esterna caspia"
"Passer griseus"
"Cymbium sp."
"Tilapia sp."
"Arius sp."
"Lutjanus sp."
"Pagrus sp."
"Ethmalosa sp."
"Sphyraena sp."
"Numenius sp."
"Sardinella sp."
"Serranus sp."
"Epinephelus sp."
"Cephalopholis sp."
"Mycteroperca sp."
"Caranx sp."
"Lichia sp."
"Hemicaranx sp."
"Chloroscombrus sp."
"Selene sp."
"Trachinotus sp."
"Decapterus sp."
"Rhizoprionodon sp."
"Carcharhinus sp."
"Galeocerdo sp."
"Prionace sp."
"Penaeus sp."
"Streptopelia sp."
"Hyperolius sp."
"Gyps sp."
"Varanus sp."
"Rizhophora sp."
"Laguncularia sp."
"Avicenia sp."
"Liza falcipinis"
"Gymnura sp."
"Rhinobatidae sp."
"Carlarius sp."
"Pseudotolithus sp. "
"Pristis sp."
"Senilia sp."
"Sterna sp."
"Chlidonias sp."
"Sterna caspia "
"Cerithium sp."
"Littoraria sp."
"Alectis sp."
"Spyridia sp."
"Bryopsis sp."
"Colpomenia sp."
"Liagora sp."
"Ulva sp."
"Sargassum sp."
"Padina sp."
"Jania sp."
"Caulerpa sp."
"Dictyota sp."
"Halodule sp."
"Afruca tangeri "
"Abra sp."
"Eunice sp."
"Loripes sp."
"Bulla sp."
"Retusa sp."
"Turbonilla sp."
"Rissoela sp."
"Thalasseus albididorsalis"
"Sterna nilotica "
"Larus genei "
"Larus sp."
"Thalasseus sp."
"Ariidae sp."
"Siderastrea sp."
"Sepia sp."
"Chlorophyta sp."
"Porifera sp."
"Mytilida sp."
"Siphonaria sp."
"Tethya sp."
"Zoanthus sp."
"Derbesia sp."
"Ligia sp."
"Conus sp."
"Onchidella sp."
"Psettodes sp."
"Petrolisthes sp."
"Sphyma lewini"
"Fontitrygon margarita "
"Crocodylus suchus"
"Anacardium occidentale"
"Phymateus viridipes"
"Trachylepis affinis"
"Trachylepis perrotetii"
"Coelonia fulvinotata"
"Trichonephila fenestrata"
"Sphodromantis lineola"
"Dysdercus fasciatus"
"Ploceus cucullatus"
"Gloriosa superba"
"Scadoxus multiflorus"
"Rubraea egina"
"Oecophylla longinoda"
"Luffa aegyptiaca"
"Lonchocarpus sericeus"
"Agama boensis"
"Combretum racemosum"
"Usteria guineensis"
"Nephila constricta"
"Leptocoris chevreuxi"
"Precis antilope"
"Nelsonia canescens"
"Centropus senegalensis"
"Commelina africana"
"Cassytha filiformis"
"Dialium guineense"
"Coracias abyssinicus"
"Bombax costatum"
"Cinnyris coccinigastrus"
"Cinnyris venustus"
"Allamanda blanchetii"
"Calyptrochilum christyanum"
"Atopomyrmex mocquerysi"
"Guilandina bonduc"
"Landolphia heudelotii"
"Ipomoea pileata"
"Cossypha niveicapilla"
"Mallodon downesii"
"Telchinia serena"
"Amorphophallus aphyllus"
"Amorphophallus consimilis"
"Combretum paniculatum"
"Newbouldia laevis"
"Urena lobata"
"Bersama abyssinica"
"Mezoneuron benthamianum"
"Parkia biglobosa"
"Jatropha gossypiifolia"
"Sclerophrys maculata"
"Heliosciurus gambianus"
"Hirundo lucida"
"Microcarbo africanus"
"Platysteira cyanea"
"Ploceus brachypterus"
"Halcyon malimbica"
"Bematistes epaea"
"Crinifer piscator"
"Agrius convolvuli"
"Cyligramma fluctuosa"
"Vanellus senegallus"
"Ceiba pentandra"
"Hemidactylus angulatus"
"Cercopithecus petaurista"
"Lamprotornis caudatus"
"Adansonia digitata"
"Polyboroides typus"
"Python sebae"
"Chlorocebus sabaeus"
"Poicephalus senegalus"
"Cercopithecus campbelli"
"Cricetomys gambianus"
"Strophanthus sarmentosus"
"Curculigo pilosa"
"Tenodera superstitiosa"
"Epomophorus pusillus"
"Leptopelis viridis"
"Hyperolius spatzi"
"Ptychadena bibroni"
"Aethiothemis palustris"
"Hemisus guineensis"
"Henosepilachna reticulata"
"Bitis arietans"
"Arthroleptis poecilonotus"
"Maura lurida"
"Kaupifalco monogrammicus"
"Coracias cyanogaster"
"Campephaga phoenicea"
"Stephenia pseudegina"
"Gasteracantha curvispina"
"Streptopelia vinacea"
"Chloropicus goertae"
"Lophoceros nasutus"
"Paullinia pinnata"
"Bertiera spicata"
"Cercestis afzelii"
"Alchornea cordifolia"
"Campylospermum squamosum"
"Acridocarpus spectabilis"
"Hetaeria tetraptera"
"Abrus melanospermus"
"Albizia adianthifolia"
"Albizia zygia"
"Alstonia congensis"
"Ampelocissus multistriata"
"Anadelphia afzeliana"
"Ampelocissus bombycina"
"Annona senegalensis"
"Anthocleista procera"
"Anthocleista vogelii"
"Bryaspis psittacorhyncha"
"Capparis erythrocarpos"
"Clerodendrum thyrsoideum"
"Cnestis ferruginea"
"Combretum grandiflorum"
"Combretum micranthum"
"Combretum tomentosum"
"Connarus africanus"
"Craterispermum laurinum"
"Daniellia oliveri"
"Dichrostachys cinerea"
"Diospyros heudelotii"
"Pontederia natans"
"Elaeis guineensis"
"Eriosema glomeratum"
"Ficus lutea"
"Ficus natalensis"
"Ficus sur"
"Ficus laurifolia"
"Flemingia faginea"
"Gladiolus gregarius"
"Guiera senegalensis"
"Hibiscus cannabinus"
"Hygrophila barbata"
"Hymenocardia acida"
"Ipomoea asarifolia"
"Jasminum pauciflorum"
"Ipomoea mauritiana"
"Ixora brachypoda"
"Khaya senegalensis"
"Landolphia dulcis"
"Lannea acida"
"Lophira lanceolata"
"Leptoderris brachyptera"
"Loudetia hordeiformis"
"Macaranga heudelotii"
"Malacantha alnifolia"
"Milicia regia"
"Morinda chrysorhiza"
"Monanthotaxis barteri"
"Neocarya macrophylla"
"Oplismenus burmanni"
"Panicum afzelii"
"Panicum repens"
"Parinari excelsa"
"Pavetta corymbosa"
"Piliostigma thonningii"
"Pouchetia africana"
"Prosopis africana"
"Psychotria peduncularis"
"Pterocarpus erinaceus"
"Salacia senegalensis"
"Nauclea latifolia"
"Dracaena senegambica"
"Senna podocarpa"
"Smilax anceps"
"Sorindeia juglandifolia"
"Spermacoce verticillata"
"Spondias mombin"
"Sterculia tragacantha"
"Tapinanthus bangwensis"
